epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.8320570588111877,0.37611278891563416,0.001,0.8582976460456848,0.327843576669693
1,0.8778349161148071,0.29463180899620056,0.001,0.8600808382034302,0.33871185779571533
2,0.8957725763320923,0.2551090717315674,0.001,0.8543747067451477,0.35026830434799194
3,0.9092205762863159,0.22333645820617676,0.001,0.8549690842628479,0.4016004800796509
4,0.9300954341888428,0.17551572620868683,0.0005,0.851640522480011,0.4534124732017517
5,0.9388440251350403,0.1551402509212494,0.0005,0.8464099168777466,0.4978933334350586
